,0
0,17.1
1,17.9
2,17.8
3,17.8
4,17.9
5,17.9
6,18.3
7,17.1
8,17.8
9,17.1
10,17.8
11,17.9
12,17.8
13,17.8
14,17.8
15,17.8
16,18.2
17,17.8
18,17.8
19,17.8
20,17.8
21,17.8
22,17.9
23,17.8
24,17.8
25,17.8
26,17.8
27,17.8
28,17.9
29,17.7
30,17.9
31,17.7
32,17.8
33,17.7
34,18.0
35,17.1
36,17.8
37,17.8
38,17.8
39,18.2
40,17.8
41,17.8
42,17.8
43,17.8
44,17.8
45,17.9
46,17.8
47,17.7
48,17.9
49,17.8
50,17.9
51,17.8
52,18.3
53,17.8
54,19.1
55,17.9
56,17.8
57,17.8
58,17.8
59,17.8
60,17.8
61,17.9
62,17.7
63,17.8
64,17.8
65,17.9
66,17.8
67,17.9
68,18.5
69,17.1
70,17.8
71,17.9
72,17.8
73,17.8
74,17.8
75,17.8
76,17.8
77,17.9
78,18.3
79,17.9
80,17.9
81,17.8
82,17.9
83,17.8
84,17.9
85,17.8
86,17.8
87,17.8
88,17.8
89,17.9
90,17.8
91,17.8
92,17.9
93,18.0
94,18.0
95,17.9
96,17.8
97,17.1
98,17.9
99,17.7
