,0
0,69.4
1,69.6
2,69.3
3,69.3
4,69.2
5,69.3
6,69.3
7,69.1
8,69.2
9,69.5
10,69.2
11,69.4
12,69.4
13,69.4
14,69.2
15,69.4
16,69.5
17,69.2
18,69.2
19,69.2
20,69.2
21,69.1
22,69.4
23,69.8
24,69.2
25,69.2
26,69.4
27,69.4
28,69.3
29,69.3
30,69.3
31,69.2
32,69.2
33,69.3
34,69.2
35,69.2
36,69.5
37,69.2
38,69.5
39,69.3
40,69.2
41,69.1
42,69.2
43,69.2
44,69.4
45,69.1
46,69.3
47,69.2
48,69.2
49,69.6
50,69.4
51,69.1
52,69.3
53,69.2
54,69.2
55,69.3
56,69.2
57,69.2
58,69.3
59,69.3
60,69.1
61,69.3
62,69.2
63,69.3
64,69.2
65,70.1
66,69.3
67,69.3
68,69.2
69,69.2
70,69.2
71,69.4
72,69.2
73,69.3
74,69.4
75,69.2
76,69.3
77,69.4
78,69.2
79,69.3
80,69.2
81,69.3
82,69.1
83,69.3
84,69.2
85,69.5
86,69.2
87,69.4
88,69.3
89,69.2
90,69.2
91,69.2
92,69.2
93,69.3
94,69.3
95,69.2
96,69.9
97,69.2
98,69.2
99,69.2
