,0
0,207.0
1,206.0
2,206.0
3,206.0
4,206.0
5,206.0
6,206.0
7,206.0
8,206.0
9,206.0
10,206.0
11,206.0
12,206.0
13,206.0
14,206.0
15,206.0
16,206.0
17,206.0
18,206.0
19,206.0
20,206.0
21,206.0
22,206.0
23,206.0
24,206.0
25,206.0
26,206.0
27,206.0
28,206.0
29,206.0
30,206.0
31,206.0
32,206.0
33,206.0
34,206.0
35,206.0
36,206.0
37,206.0
38,206.0
39,206.0
40,206.0
41,206.0
42,206.0
43,206.0
44,206.0
45,206.0
46,206.0
47,206.0
48,206.0
49,206.0
50,206.0
51,206.0
52,206.0
53,206.0
54,206.0
55,206.0
56,206.0
57,206.0
58,206.0
59,206.0
60,206.0
61,206.0
62,206.0
63,206.0
64,206.0
65,206.0
66,206.0
67,206.0
68,206.0
69,206.0
70,206.0
71,206.0
72,206.0
73,206.0
74,206.0
75,206.0
76,206.0
77,206.0
78,206.0
79,206.0
80,206.0
81,206.0
82,206.0
83,206.0
84,207.0
85,207.0
86,206.0
87,206.0
88,206.0
89,206.0
90,206.0
91,207.0
92,206.0
93,206.0
94,206.0
95,206.0
96,206.0
97,206.0
98,206.0
99,206.0
